godzina,id
15,38849
14,2010138
10,46098
9,38889
11,2012398
12,2038559
17,2036713
9,2001839
22,2005830
12,38752
11,2009361
11,38894
7,2038614
23,2002377
12,1674
14,39148
14,38902
10,53187
8,54605
15,54751
9,2001690
11,2003367
12,43597
5,2004432
12,2008250
10,52080
9,51788
20,33852
14,38901
20,54271
15,46484
8,2107929
11,2003783
22,2005846
12,2048580
13,2048628
13,30837
11,2095905
9,2001153
8,40477
20,38977
11,4183
11,38895
3,38920
7,38923
9,38926
7,38922
15,38946
19,40344
7,38955
10,38960
14,38967
7,38991
18,38972
16,39256
0,38979
0,38980
5,39219
9,4242
4,38982
17,38970
9,38994
10,38995
11,38998
19,35003
16,56014
17,39045
8,39229
2,40996
16,39037
12,39137
19,39058
21,39065
10,39081
14,39091
13,4248
14,39094
14,39095
14,39093
17,39100
17,39098
20,39107
15,39096
22,39111
9,2012375
7,39119
22,39112
8,39230
6,39117
20,39961
11,35095
16,35482
16,34528
1,13160
18,9039
15,6407
7,7951
15,2048666
14,33218
10,36348
5,23991
10,47668
10,39132
12,39138
14,39156
19,39194
17,39185
21,39209
12,39240
0,39215
2,39217
20,39552
22,2009237
11,39237
12,39243
12,51740
22,39333
9,11751
12,39241
17,39259
22,39265
23,39268
15,39251
23,39267
5,39272
7,36858
17,56036
16,41188
12,39282
17,39286
21,39292
23,39295
16,56021
10,39300
11,39303
0,39296
13,40933
6,39298
23,39335
8,39341
14,39311
11,39351
13,39357
10,39349
8,41262
5,41632
21,39446
16,39401
14,35193
17,39412
10,41300
18,39430
7,39453
9,2012376
9,2009156
7,39717
13,39512
18,41414
18,56054
18,39549
0,39565
4,39567
18,39543
13,39611
7,39570
2,39566
9,39578
14,39613
22,39597
8,39599
18,39621
21,39626
9,39634
10,39637
12,39639
16,39645
15,39643
17,39646
6,39654
8,39656
10,682
10,39662
17,39648
17,56039
17,53089
12,39665
9,35521
12,39666
4,35241
5,39688
20,39680
22,39681
22,39682
15,39672
1,3097
8,39691
15,39700
18,39706
6,39714
12,39695
21,35275
14,40828
8,39722
7,39716
10,39730
9,39727
11,39732
12,39735
15,39741
11,41493
15,31386
9,15013
22,35277
17,39745
17,39747
19,39753
5,39764
8,39767
8,39770
13,39782
19,35353
15,39793
15,39794
17,39800
8,35383
18,39803
12,50241
16,40048
12,50240
19,39805
11,39828
12,39830
9,33702
18,39839
23,39845
21,39843
19,39840
7,39850
17,39862
12,39855
9,2012377
9,2009158
13,39856
13,39886
7,39879
20,39870
16,39896
20,39869
11,39915
10,35821
11,39916
11,39917
16,39924
19,39928
17,39897
9,2009159
14,2036690
12,39945
12,39946
6,39935
0,39934
12,39944
15,39948
15,35476
18,39952
20,39960
22,39967
7,39968
12,39980
11,39976
11,40023
16,40046
13,39984
17,35490
0,32474
0,40008
2,40009
7,40011
9,2012378
11,40021
9,40015
10,40018
14,40032
10,43341
23,40058
20,40055
5,41863
18,40084
0,40090
20,41830
8,40374
5,40092
17,40201
19,49196
13,40114
15,40118
19,56082
8,40098
21,40136
5,40142
12,40154
7,40371
8,40170
14,40174
19,40202
22,40165
12,40738
13,40173
7,40187
22,40293
19,49837
19,40177
18,56064
20,40179
13,40193
7,40218
18,56063
16,35575
1,40211
7,40221
23,40357
9,40227
8,40225
14,40234
18,35577
16,40243
17,40247
0,40522
6,40524
15,40237
18,40251
5,40266
0,40260
7,41250
18,35600
21,40351
9,2009160
7,36718
9,47664
11,40277
14,40284
13,40280
5,40361
12,40311
8,42235
10,32503
9,40272
13,40281
12,40279
2,42092
14,40319
14,40320
10,32504
16,33728
5,40364
12,40399
20,35606
12,40407
6,40468
14,40424
19,40449
11,40486
1,40463
12,29835
22,40462
14,40425
20,40511
6,40469
19,40506
12,40492
11,40640
14,40498
16,40500
20,40510
20,40509
23,40517
11,40528
2,40578
5,40633
21,50589
